id,titre,date,durée,tags
0,Comment bien débuter avec une Ender 3,4 avr. 2019,30:15,"Imprimante 3D, ender 3, Print, 3D, Impression 3D"
1,"Ender 3 : Unboxing, montage et première impression",14 juil. 2018,1:12:27,"ender, creality, unboxing, deballage, ouverture, montage, installation, evaluation, test, imprimante, printer, 3d, printing, imprimer, meilleur"
2,Creality Ender 3 : Comment bien démarrer dans le monde de l'impression 3D ?,15 janv. 2019,36:32,"amk, arkilon model kits, modelisme, maquettisme, french plastik, fr, francais, france, creality ender 3, ender 3, impression 3d, tutoriel ender 3, 3d, cura, slicer, tinkercade"
3,"Ender 3 - Mes conseils ! Cura, réglages, montage, entretien",19 févr. 2019,18:06,"ender 3, creality, imprimante 3D, conseils, tuto, montage, entretien, fr, extrudeur, filament, 3D, eskice, miniature, modélisme, soclage, figurine, warhammer, 40000, games workshop"
4,Creality Ender 3 -  Présentation et assemblage,16 sept. 2018,1:13:59,"Imprimante 3D, Creality, Ender 3, techno, geek, impression 3d"
5,Guide pour bien débuter dans l'impression 3D !,15 juin 2019,15:16,"heliox, guide débutant impression 3d, débutant imprimante 3d, impression 3d pour les nuls, débutant impression 3D, comment bien débuter dans l'impression 3D, comment bien débuter imprimante 3D, guide débutant imprimante 3D, paramètre imprimante 3D, régler plateau imprimante 3D, BL touch, bien débuter dans l'impression 3D, bien débuter imprimante 3D, imprimante 3d comment ça marche, imprimante 3d comment faire, impression 3D pour débutant, imprimante 3D pour débutant"
6,CRÉER SES PROPRES OBJETS EN 3D ! (Tuto),28 nov. 2018,12:25,"Peanut, MrPeanut, Peanut3D, Impression3D, Imprimante3D, Print, 3DPrinting, Printer, CR10, tuto, tuto modélisation, modélisation, modélisation 3D, modelling, tinkercad, fusion360, blender, logiciel de modélisation, comment modéliser, modéliser gratuitement, logiciel gratuit, comment modéliser gratuitement"
7,DEBUTER LA MODELISATION 3D,29 nov. 2018,12:30,"Modelisation, 3D, impression, filaments, filament, ender3, ender, cr10, cr, 10, Apple, iphone, peanuts, peanut, heliox, alfawise, u20, tommy, slicer, barbu, la grotte, la, grotte"
8,TUTO IMPRESSION 3D: MODÉLISATION AVEC BLENDER,23 avr. 2017,7:45,"impression 3D, imprimer, 3D, imprimer en 3D, blender, modélisation, yt:quality=high, créer, tuto, tutoriel, tutorial, blender 3D, prusa i3, Reprap"
9,Prise en main de CURA : Comment préparer vos impressions 3D,11 août 2019,42:52,"impression 3d, imprimante 3d, cura, slicer, trancheur, apprendre cura, prise en main de cura, tutoriel cura, tutorial cura, apprentissage de cura, apprendre impression 3D, pas à pas, logiciel impression 3d, logiciel imprimante 3d, logiciel ender 3, creality, créer un Gcode, gcode, paramètre de cura"
10,Le design 3D pour débutants avec Tinkercad,25 nov. 2017,21:39,"tinkercad, solidworks, fusion 360, fusion360, 3d design, design 3d, 3d, design, modelisation, modelisation 3d, imprimante 3d, impression 3d, laser, cnc, cutter, 3d printer, printer, 3d printing, imprimante, autodesk, cura, simplify 3d, tutoriel, electronique, electronics, tommy desrochers, td72pro, review, test"
11,"BORDURE, BRIM ET WARPING (IMPRIMANTES 3D)",20 mars 2018,5:35,"BORDURE, BRIM, WARPING, Imprimante 3D, QUICKDEF, Débuter, Débutant, DIY, imprimante 3d, 3d, diy, electronique, DEFINITION, JUPE, SKIRT, impression 3D, Slicer, CURA, Simplify 3D, IceSL, Creality3D, CR-10, Impression3D, Imprimante3D, Print, 3DPrinting, Printer, CR10, Repetier, Décollement, Filament, Conception 3D, Atelier"
12,Buse ou tête d'impression 3D bouchée ?! 😡 Les solutions ! 😀,11 janv. 2019,13:33,"imprimante 3d alfawise u20, imprimante 3d, impression 3D, cr 10, produit nettoyant imprimante, cr 10 upgrades, Buse, tête d'impression, démontage, e3d v6, impression 3d metal, problèmes impression 3d, bouchage buses, PLA, ABS, PETG, tuto 3d, tuto comment déboucher sa buse, déboucher buse imprimante 3d, buse bouchée, nettoyage buse, 3d printer, 3d printing, e3d v6 vs clone, impression 3d filament metal, buse bouchée dagoma, impression 3d filament bois, e3d v6 assembly"
13,CURA 3.6 : Paramètres uniques par pièce imprimé en 3D (Remplissage) 👍,15 févr. 2019,8:45,"impression 3d, imprimante 3d, reglage cura, cura 3.6, cura 3.6 settings, 3D print, débutant, tutoriel cura, cura tutorial, tuto cura, paramètres cura, impression 3D cura, paraètres différents cura, cura 3.6 tutorial, tuto cura 3.6, conception 3D, PLA, ABS, rigidité plastique, remplissage impression 3d, impression 3d cura, facile, comment faire, Paramètres uniques cura, addon cura, plugin cura, 3D printer, FDM, plateau impri, plateau imprimante 3d"
14,"Rétraction, cheveux d'ange et stringing (Paramètres d'impression 3D)",1 mars 2019,16:15,"BenTeK.fr, imprimante 3d, impression 3d, rétraction, retraction, retractation, rétractation, cheveux d'ange, cheveux d'anges, stringing, reglage cura, comment faire, 3d printer, buse, bouchage de buse, filament, pla, abs, petg, flexible, bowden, direct drive, cura, paramètres cura, simplify3D, slic3r, tutorial, tutoriel, tuto cura, tuto simplify3D, tuto français, tuto slic3r francais, tuto cura francais, tuto simplify3D français, tuto impression 3d, calibration, hotend, e3d titan"
15,Mes 5 astuces et conseils pour l'impression 3D !,6 mars 2019,17:23,"heliox, le labo d'heliox, axelle, le labo, comment faire, impression 3D, imprimante 3d, astuces impression 3D, astuces imprimante 3D, astuce impression 3D, astuce imprimante 3D, adhérence impression 3D, 3Dlac, astuce bricolage, air gun, SLS 1052, Spray 3DLAC, Laque impression 3D, conseils impression 3D, 3d print tips, adhérence plateau, alfawise, réduire bruit imprimante 3D, enlever traces plateau d'imprimante, gcode, filament humide"
16,comment ça marche l'impression 3D - Débuter en impression 3D - les étapes,1 mars 2019,23:51,"étapes, impression 3d, débuter, commencer, déroulement, conception, objet, 3d, comment, ça, marche"
17,Partie 1 : La modélisation - Tuto Blender débutant,18 févr. 2020,39:20,"La modélisation Blender débutant, La modélisation Blender, la modélisation sur blender, la modélisation dans blender, la modélisation avec blender, faire de la modélisation avec blender, modélisation blender, modélisation blender 2.8, modélisation 3d blender 2.8, tuto modélisation blender, tuto modélisation blender débutant, tuto blender débutant, comment modéliser sur blender, tuto blender francais, tuto blender francais debutant, formation motion design"
18,Maîtriser la Modélisation 3D avec Blender 2.8,18 janv. 2020,4:54,"Débuter avec Blender, Logiciel de 3D, Trucs et astuces, Bon à savoir, Blender, Modélisation, Blender 2.8, Tutoriel, Découverte, Blender débutant, Blender apprendre, Modéliser en 3D"
19,La CREALITY CR-10S PRO vaut-elle le coup ?,1 févr. 2019,16:27,"heliox, le labo d'heliox, le labo, impression 3D, fusion 360, imprimante 3d, creality cr10, creality cr10 s, creality cr10s, test creality cr10, test creality cr10s pro, cr10s pro, test imprimante 3d, creality cr-10, cr-10s, CR10S PRO, creality cr-10s pro, test creality cr-10s pro, creality, avis cr-10s pro"
